Supplier,Spend_AUD,Treatment,NAICS,Factor_kgCO2e_per_USD2022,tCO2e,Basis
"PATHTECH P/L",150869,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CARVOLTH FAMILY TRUST T/A  AUD",144907,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"EMPLOYMENT HERO PTY LTD",143523,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"RUSSELL MINERAL EQUIPMENT",141937,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"EDGE ENERGY SERVICES P/L",141482,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TOWNSVILLE FAMILY MEDICAL CTR",140712,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"COREFLEET",136628,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SCHNEIDER ELECTRIC (AUST) P/L",136289,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TERRECOM PTY LTD",136142,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PHOENIX OCCUPATIONAL MEDICINE",133670,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ELLSLEY METAL RECYCLING",133528,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MAXITOOL AUSTRALIA P/L",129175,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AUSTRALIAN SPECIALISED MACHINE",127464,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NEPEAN CONVEYORS PTY LTD",126100,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"YERING CONSULTING SERVICES P/L",125000,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"HOPGOOD GANIM LAWYERS",123862,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PR POLYMERS PTY LTD",123196,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MCNEE ON-SITE MACHINING P/L",122553,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"RICOM ELECTRONICS PTY LTD",120147,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CUTTING EDGES EQUIPMENT PARTS",119068,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CUMMINS SOUTH PACIFIC P/L",117330,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AMC CONSULTANTS PTY LTD",114823,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ADAPTALIFT GROUP PTY LTD",114120,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CONTROL SYSTEMS TECHNOLOGY P/L",112072,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"WORKPAC HEALTH & SOCIAL CARE",111473,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NORTH QUEENSLAND THERAPY SERVI",111169,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"VMS AUSTRALIA P/L",111128,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"GPC ASIA PACIFIC PTY LTD",110148,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"VULCAN STEEL (AUSTRALIA)",110089,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DO NOT USE - SEE BUR011AUD",109745,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ENGINEERING TRADES AUSTRALIA",108998,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"HARRIS' AUTO ELECTRICAL SERVIC",108978,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ON Q COMMUNICATIONS",108960,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MINING WEAR PARTS PTY LTD",107745,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MTI GROUP P/L",107247,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"THE GOOD GUYS DISCOUNT WAREHOU",104436,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"HITACHI GLOBAL AIR POWER AUST",102636,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TEXCEL PTY LTD",102150,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"INTERTEK GENALYSIS",101511,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"EILBECK CRANES",99817,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BULLIVANTS PTY LTD",98750,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"XYLEM WATER SOLUTIONS AUST.LTD",98000,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"RIMEX WHEEL PTY LTD",97163,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"THE PEOPLE & CULTURE LINK",96462,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"LUNG SCREEN AUSTRALIA P/L",96431,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ABSCAN BUILDING CONSULTANTS",95550,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CHATHAM FINANCIAL PTY LTD",94675,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"HAMILTON PRINTERS",93386,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TOTAL FIRE SOLUTIONS P/L",93371,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BUS 4X4 HIRE PTY LTD",90816,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"REECE PTY LTD",90034,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BLYTH ASSET MANAGEMENT P/L",90000,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CASTROL AUSTRALIA",87508,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"LUCIDITY SOFTWARE PTY LTD",87326,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"GCG HEALTH SAFETY & HYGIENE",87019,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BODYFIX PHYSIOTHERAPY& MASSAGE",86605,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CRANSTON AUTO ELECTRICS",84728,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ALLOYTECH FABRICATION PTY LTD",84461,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NQ RESOURCE RECOVERY",82997,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CUMI (AUSTRALIA) PTY LTD",81457,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"HARBOUR ROAD MEDICAL",81371,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AIR-MET SCIENTIFIC PTY LTD",81287,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AMPCONTROL (NSW) P/L",80121,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"KEMIX AUSTRALIA P/L",79712,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ROWE SCIENTIFIC P/L",77567,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"WREN HEAVY HAULAGE",77295,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
